experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
223,normal,0.2472,13.0,27.5,0.0,0.0
223,compromised,0.9529,15.0,16.5,0.1200000000000001,0.1
224,normal,0.2997,14.5,20.0,0.0,0.0
224,compromised,0.6987,11.0,19.5,0.09,0.08
225,normal,0.2381,10.5,21.5,0.0,0.0
225,compromised,0.3457,12.0,27.5,0.4199999999999999,0.41
226,normal,0.1676,47.5,35.5,0.0,0.0
226,compromised,1.0619,8.5,27.0,0.03,0.02
227,normal,0.1671,16.0,23.0,0.0,0.0
227,compromised,1.0453,22.5,24.5,0.09,0.09
228,normal,0.2284,7.0,20.0,0.0,0.0
228,compromised,1.0644,8.5,34.0,0.1599999999999999,0.16
229,normal,0.1382,9.5,16.0,0.0,0.0
229,compromised,0.2001,10.5,23.5,0.05,0.0
230,normal,0.1563,10.5,25.5,0.0,0.0
230,compromised,0.4039,11.5,30.5,0.05,0.05
231,normal,0.2113999999999999,19.0,0.0,0.0,0.0
231,compromised,0.1599,13.5,32.5,0.1899999999999999,0.19
232,normal,0.1039999999999999,13.0,17.0,0.0,0.0
232,compromised,0.9232,0.0,0.0,0.2399999999999998,0.13
233,normal,0.5759,15.5,24.5,0.0,0.0
233,compromised,0.8584,15.5,20.5,0.05,0.0
234,normal,0.2808,10.5,22.5,0.0,0.0
234,compromised,0.7219,10.5,28.5,0.0799999999999999,0.0
235,normal,0.4424999999999999,15.0,22.0,0.0,0.0
235,compromised,0.4645999999999999,20.5,36.5,0.0,0.0
236,normal,0.143,9.0,18.5,0.0,0.0
236,compromised,1.1671,24.67,43.33,0.37,0.25
237,normal,0.2271,41.0,30.0,0.0,0.0
237,compromised,1.4117,7.5,32.5,0.06,0.06
238,normal,0.249,14.0,15.0,0.0,0.0
238,compromised,0.3538,10.5,19.5,0.0,0.0
239,normal,0.064,29.0,25.5,0.0,0.0
239,compromised,0.8718,34.5,18.5,0.0,0.0
240,normal,0.425,4.0,21.0,0.0,0.0
240,compromised,0.2216999999999999,20.0,20.0,0.3500000000000001,0.35
241,normal,0.332,10.5,21.0,0.0,0.0
